key,0,1,2
#,Vision,Objective,PreviousObjective
offset,0,4,8
int32,str,str,str
0,,,
1,開拓目標：建造小島木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>聽取貓耳小員的說明<hex:021402EC03><hex:021302EC03>,
2,開拓目標：建造小島木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>再次聽取貓耳小員的說明<hex:021402EC03><hex:021302EC03>,聽取貓耳小員的說明
3,開拓目標：建造小島木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>在收穫模式下收集開拓素材<hex:02100103>向貓耳小員報告<hex:021402EC03><hex:021302EC03>,再次聽取貓耳小員的說明
4,開拓目標：建造小島木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>在開拓製作面板中製作開拓用石斧<hex:02100103>向貓耳小員報告<hex:021402EC03><hex:021302EC03>,在收穫模式下收集開拓素材 向貓耳小員報告
5,開拓目標：建造小島木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>收集開拓素材建造小島木屋<hex:021402EC03><hex:021302EC03>,在開拓製作面板中製作開拓用石斧 向貓耳小員報告
6,開拓目標：建造小島木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>向貓耳小員報告<hex:021402EC03><hex:021302EC03>,收集開拓素材建造小島木屋
7,開拓目標：在耕地種植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>聽取貓耳小員的說明<hex:021402EC03><hex:021302EC03>,
8,開拓目標：在耕地種植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>委託耕種小員整地<hex:021402EC03><hex:021302EC03>,聽取貓耳小員的說明
9,開拓目標：在耕地種植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>聽取耕種小員的說明<hex:021402EC03><hex:021302EC03>,委託耕種小員整地
10,開拓目標：在耕地種植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>使用播種模式在耕地種下選好的種子<hex:021402EC03><hex:021302EC03>,聽取耕種小員的說明
11,開拓目標：在耕地種植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>使用澆水模式為種下的種子澆水<hex:021402EC03><hex:021302EC03>,使用播種模式在耕地種下選好的種子
12,開拓目標：在耕地種植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>向耕種小員報告<hex:021402EC03><hex:021302EC03>,使用澆水模式為種下的種子澆水
13,開拓目標：在牧場餵食動物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>聽取貓耳小員的說明<hex:021402EC03><hex:021302EC03>,
14,開拓目標：在牧場餵食動物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>委託放牧小員整地<hex:021402EC03><hex:021302EC03>,聽取貓耳小員的說明
15,開拓目標：在牧場餵食動物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>聽取放牧小員的說明<hex:021402EC03><hex:021302EC03>,委託放牧小員整地
16,開拓目標：在牧場餵食動物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>使用捕獸模式捕捉動物<hex:021402EC03><hex:021302EC03>,聽取放牧小員的說明
17,開拓目標：在牧場餵食動物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>聽取放牧小員的說明<hex:021402EC03><hex:021302EC03>,使用捕獸模式捕捉動物
18,開拓目標：在牧場餵食動物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>使用餵食模式為動物餵食<hex:021402EC03><hex:021302EC03>,聽取放牧小員的說明
19,開拓目標：在牧場餵食動物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>向放牧小員報告<hex:021402EC03><hex:021302EC03>,使用餵食模式為動物餵食
20,開拓目標：建設開拓工房做好貿易的準備,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>聽取貓耳小員的說明<hex:021402EC03><hex:021302EC03>,
21,開拓目標：建設開拓工房做好貿易的準備,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>委託開拓小員1號整地<hex:021402EC03><hex:021302EC03>,聽取貓耳小員的說明
22,開拓目標：建設開拓工房做好貿易的準備,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>聽取開拓小員1號的說明<hex:021402EC03><hex:021302EC03>,委託開拓小員1號整地
23,開拓目標：建設開拓工房做好貿易的準備,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>收集開拓素材<hex:02100103>在開拓製作面板中製作開拓無人島用石錘<hex:021402EC03><hex:021302EC03>,聽取開拓小員1號的說明
24,開拓目標：建設開拓工房做好貿易的準備,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>收集開拓素材建造開拓工房<hex:021402EC03><hex:021302EC03>,收集開拓素材 在開拓製作面板中製作開拓無人島用石錘
25,開拓目標：建設開拓工房做好貿易的準備,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>向開拓小員1號報告<hex:021402EC03><hex:021302EC03>,收集開拓素材建造開拓工房
26,開拓目標：自由開拓無人島,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>聽取貓耳小員的說明<hex:021402EC03><hex:021302EC03>,
27,開拓目標：自由開拓無人島,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>按照自己的想法開拓小島<hex:021402EC03><hex:021302EC03>,聽取貓耳小員的說明
28,,,
