key,8,9
#,Name,Description
offset,0,4
int32,str,str
0,,
1,巡邏城內,命令隊員在<hex:020938E802FF15>利姆薩·羅敏薩<hex:FF10>格里達尼亞<hex:FF0D>烏爾達哈<hex:03>城內定期巡邏。巡邏指定地點，確保城內安全。
2,向附近據點傳令,命令隊員到<hex:020933E802FF10>德內維爾關<hex:FF10>烤餅練兵所<hex:FF0D>撒溝厲關<hex:03>傳令。將軍方文件交給該地駐紮部隊。
3,巡邏城市周邊道路,命令隊員在<hex:02093CE802FF10>中拉諾西亞<hex:FF19>黑衣森林中央林區<hex:FF0D>中薩納蘭<hex:03>的主要道路巡邏。發現威脅市民、旅行者、商隊安全的魔物後立即消滅。
4,偵察蠻族部隊,有情報傳來稱在<hex:020975E802FF28>拉諾西亞低地目擊到了地靈族<hex:FF22>南部林區目擊到了鳥人族<hex:FF25>中薩納蘭目擊到了蜥蜴人族<hex:03>。立即前往現場，偵察敵人動向後報告。
5,護衛補給部隊,命令隊員保護前往<hex:020936E802FF10>骷髏谷營地<hex:FF13>阿馬里賽哨塔<hex:FF0D>枯骨營地<hex:03>的補給部隊。任何時刻都不要放鬆警惕，確保補給部隊的安全。
6,驅除魔物,<hex:02093CE802FF10>中拉諾西亞<hex:FF19>黑衣森林中央林區<hex:FF0D>中薩納蘭<hex:03>的居民發來了驅除<hex:020921E802FF0D>古菩猩猩<hex:FF07>樹精<hex:FF07>巨龜<hex:03>的請求。為防止損害擴大，立即前往現場阻止魔物。
7,重要任務：消滅低級妖異,有目擊情報稱，在<hex:02092AE802FF0A>輕聲谷<hex:FF0D>沃連牢獄<hex:FF0D>豐饒神井<hex:03>發現低級妖異。放置不管的話，可能會給當地居民帶來災害。立即前往現場，將所有妖異消滅。
8,支援前線部隊,<hex:020939E802FF10>骷髏谷營地<hex:FF13>歐金尼婭哨塔<hex:FF10>小阿拉米格<hex:03>的駐紮部隊發來支援請求。立即前往現場，支援當地部隊迎擊<hex:020927E802FF0A>地靈族<hex:FF0A>鳥人族<hex:FF0D>蜥蜴人族<hex:03>。
9,護衛同盟軍軍官,<hex:020924E802FF0A>雙蛇黨<hex:FF0A>恆輝隊<hex:FF0A>黑渦團<hex:03>的軍官將來我城進行重要訪問。前往飛艇坪迎接，並在訪問期間做好萬全的接待和護衛。
10,巡邏郊外道路,命令隊員在<hex:02093CE802FF10>東拉諾西亞<hex:FF19>黑衣森林南部林區<hex:FF0D>南薩納蘭<hex:03>的主要道路巡邏。當地道路多為運輸要道，睜大眼睛，確保道路治安。
11,偵察蠻族據點,命令隊員前往<hex:02093FE802FF13>地靈軍試掘地<hex:FF13>鳥人軍採伐所<hex:FF13>蜥蜴人軍陣地<hex:03>執行偵察行動。消滅迎擊的敵方蠻族，將情報帶回。
12,搜索失蹤人員,有友軍部隊成員在<hex:02093FE802FF13>拉諾西亞外地<hex:FF19>黑衣森林北部林區<hex:FF0D>北薩納蘭<hex:03>失蹤。在敵對勢力強大的區域迅速進行搜索救援。
13,與同盟軍的聯合演習,與<hex:020924E802FF0A>恆輝隊<hex:FF0A>黑渦團<hex:FF0A>雙蛇黨<hex:03>的聯合演習即將開始。作為<hex:020924E802FF0A>黑渦團<hex:FF0A>雙蛇黨<hex:FF0A>恆輝隊<hex:03>的代表參加演習，並展現我軍優秀的能力。
14,重要任務：奪取水晶,為了阻止敵對蠻族召喚<hex:020924E802FF07>泰坦<hex:FF0A>迦樓羅<hex:FF0D>伊弗利特<hex:03>，在<hex:02093FE802FF13>地靈軍試掘地<hex:FF13>鳥人軍採伐所<hex:FF13>蜥蜴人軍陣地<hex:03>開始了奪取水晶的作戰。與友軍部隊合作，潛入地方據點，奪取目標物品。
15,重要任務：奪取水晶,為了阻止敵對蠻族召喚<hex:020924E802FF07>泰坦<hex:FF0A>迦樓羅<hex:FF0D>伊弗利特<hex:03>，在<hex:02093FE802FF13>地靈軍試掘地<hex:FF13>鳥人軍採伐所<hex:FF13>蜥蜴人軍陣地<hex:03>開始了奪取水晶的作戰。與友軍部隊合作，潛入地方據點，奪取目標物品。
16,強襲蠻族據點,對<hex:02093CE802FF19>武伽瑪羅武裝礦山<hex:FF10>風揚殖民地<hex:FF0D>不悔戰陣<hex:03>的強襲作戰開始了。立即與友軍部隊匯合，助其一臂之力。
17,取締違法武器交易,諜報部門傳來了違法武器販賣的情報。前往指定的交易場所，將犯罪者一網打盡。
18,偵察帝國軍據點,命令隊員對<hex:020936E802FF10>帝國西方堡<hex:FF10>帝國中央堡<hex:FF10>帝國南方堡<hex:03>進行偵察。帶回該地帝國軍部隊動向的相關情報。
19,追蹤帝國軍逃兵,有目擊情報稱，在<hex:02093CE802FF10>東拉諾西亞<hex:FF19>黑衣森林東部林區<hex:FF0D>北薩納蘭<hex:03>發現帝國軍逃兵。立即前往現場，搜尋並捕獲可疑人物。
20,發動對帝國軍的牽制攻擊,艾歐澤亞同盟軍將在摩杜納展開對帝國軍部隊的牽制攻擊。代表<hex:020924E802FF0A>黑渦團<hex:FF0A>雙蛇黨<hex:FF0A>恆輝隊<hex:03>參戰，引導作戰成功。
21,切斷蠻族補給線作戰,為了切斷<hex:02095AE802FF19>西拉諾西亞魚人族<hex:FF22>黑衣森林北部林區鳥人族<hex:FF19>南薩納蘭蜥蜴人族<hex:03>的補給線，投入大部隊的作戰開始了。服從<hex:020927E802FF0A>軍令部<hex:FF0A>司令部<hex:FF0D>作戰總部<hex:03>的指示，參加作戰。
22,追蹤通緝犯,有目擊情報稱，在<hex:02092AE802FF0D>拉諾西亞<hex:FF0D>黑衣森林<hex:FF0A>薩納蘭<hex:03>發現了<hex:020924E802FF0A>恆輝隊<hex:FF0A>黑渦團<hex:FF0A>雙蛇黨<hex:03>正在通緝的罪犯。協助<hex:020924E802FF0A>恆輝隊<hex:FF0A>黑渦團<hex:FF0A>雙蛇黨<hex:03>的特務軍官進行追蹤。
23,殲滅帝國軍補給部隊,諜報部門傳來了有關帝國軍補給部隊的重要情報。殲滅前往<hex:020936E802FF10>帝國西方堡<hex:FF10>帝國中央堡<hex:FF10>帝國南方堡<hex:03>的敵方補給部隊。
24,消滅合成生物,在我國領土內發現了可怕的合成生物。追蹤<hex:02095DE802FF1F>身軀巨大的彌諾陶洛斯<hex:FF1F>操縱強大魔法的拉米亞<hex:FF19>異常兇猛的奇美拉<hex:03>，將其消滅。
25,與拂曉的共同作戰,為了調查<hex:020927E802FF0A>地靈族<hex:FF0A>鳥人族<hex:FF0D>蜥蜴人族<hex:03>召喚蠻神的前兆，與拂曉血盟展開共同作戰。和同屬於組織的<hex:020936E802FF13>者斯拉佛希斯<hex:FF10>達呂斯泰爾<hex:FF0D>阿麗亞娜<hex:03>匯合，聽從其指示。
26,開發反魔導兵器戰術,為了更加有效地開發反魔導兵器戰術，使用繳獲的帝國軍魔導兵器進行模擬戰。
27,市民救出作戰,有情報稱<hex:020981E802FF31>受魚人族支配的海盜團「海蛇之舌」<hex:FF1F>鳥人族的裝甲氣球部隊<hex:FF2B>蜥蜴人族的拐人部隊「炎牙眾」<hex:03>綁架了普通市民。在無辜的市民們成為蠻神的祭品前，潛入敵方據點將其救出。
28,消滅武裝集團,被認為是<hex:020957E802FF13>輝鱗人戰鬥團<hex:FF10>豹爪偷獵團<hex:FF2E>原阿拉米格王室親衛隊「骸旅團」<hex:03>分支的武裝集團在我國領土內為非作歹，成為了巨大的威脅。立即前往現場，消滅他們。
29,取締違法邪教教團,宣揚末日思想的邪教教團「最後之民」正在進行非法布教。扮成普通市民在<hex:020938E802FF15>利姆薩·羅敏薩<hex:FF10>格里達尼亞<hex:FF0D>烏爾達哈<hex:03>境內巡視，揭發前來宣傳的邪教一夥。
30,消滅非法召喚的妖異,有目擊情報稱，在我國領土內發現了被違法召喚的妖異。追蹤<hex:02093CE802FF10>夢魔型妖異<hex:FF10>行吟型妖異<hex:FF16>安可哈格型妖異<hex:03>，並將其消滅。
31,擊破帝國軍廢棄兵器,被帝國軍廢棄的魔導兵器因某種原因而失控，威脅到了領地內的安全。立即前往現場，與特務士官合作將目標擊破。
32,排除哥布林族集團,哥布林族科學家組織青藍之手的下屬集團正在我方領土內進行機工兵器的驗證試驗。立即趕往現場，阻止未經許可的試驗。
33,揭發假副牙士,據稱，有一位自稱是格里達尼亞副牙士的強壯男人經常大聲恐嚇無辜的市民。為了維護艾歐澤亞同盟軍的威信，揭發這個副牙士。
