key,2,3,4
#,Text[Long],Text[Short],Text[Commentary]
offset,0,4,8
int32,str,str,str
3604480,,,
3604481,,,
3604482,多瑪方城戰解說,MAHJONG,ドマ式麻雀解説
3604483,烈羽爭鋒解說,RIVAL WINGS,ライバルウィングズ解説
3604484,房屋解說,HOUSING,ハウジング解説
3604485,昔日重現模式解說,昔日重現模式解說,つよくてニューゲーム解説
3604486,紛爭前線解說,FRONTLINE,フロントライン解説
3604487,出海垂釣解說,OCEAN FISHING,オーシャンフィッシング解説
3604488,幻巧拼圖解說,FAUX HOLLOWS,ソーチョーの幻想盤解説
3604489,南方博茲雅戰線解說,THE BOZJAN SOUTHERN FRONT,南方ボズヤ戦線解説
3604490,義軍等級解說,RESISTANCE RANK,レジスタンスランク解説
3604491,失傳技能解說,LOST ACTION,ロストアクション解説
3604492,博茲雅晶簇解說,BOZJA CLUSTER,ボズヤクラスター解説
3604493,九宮幻卡錦標賽解說解說,CARD TOURNAMENT,トリプルトライアドトーナメント解説
3604494,,,
3604495,,,
3604496,義軍勳章解說,RESISTANCE HONORS,レジスタンス勲章解説
3604497,扎杜諾爾高原戰線解說,ZADNOR,ザトゥノル高原解説
3604498,玩家對戰解說,PvP,PvP解説
3604499,水晶衝突解說,CRYSTALLINE CONFLICT,クリスタルコンフリクト解説
